fdc_id,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,modified_date,available_date,market_country,discontinued_date
1105914,Bush Brothers And Company,,,39400019107,"Prepared Navy Beans, Water, Brown Sugar, Onion, Tomato Puree (Tomato Paste, Water), Salt, Modified Corn Starch, Vinegar, Garlic Powder, Natural Flavor, Spice, Caramel Color.",,130,g,,Vegetables  Prepared/Processed,GDSN,9/9/2020,11/13/2020,United States,
1105915,Bush Brothers And Company,,,39400017073,"Prepared Organic Chick Peas, Water, Sea Salt.",,130,g,,Vegetables  Prepared/Processed,GDSN,9/21/2020,11/13/2020,United States,
1105916,Bush Brothers And Company,,,39400019121,"Prepared Navy Beans, Water, Brown Sugar. Contains 2% or Less of: Onion, Red Bell Pepper, Tomato Puree (Tomato Paste, Water), Salt, Modified Corn Starch, Mustard (Water, Vinegar, Mustard Seed, Salt, Paprika, Turmeric), Vinegar, Natural Flavor, Autolyzed Yeast Extract, Natural Smoke Flavor, Spice, Tomato Powder, Vinegar Powder, Caramel Color, Pork Fat, Bacon, Bacon Fat, Garlic Powder, Tamarind.",,130,g,,Vegetables  Prepared/Processed,GDSN,9/9/2020,11/13/2020,United States,
1105917,PEPPERIDGE FARM,,,6.57523E+11,"MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, CONTAINS 2% OR LESS OF: SALT, CANOLA AND EXTRA VIRGIN OLIVE OILS, WHEAT GLUTEN, MALT SYRUP, YEAST, MALTED BARLEY FLOUR, RICE FLOUR, SESAME SEED MEAL.CONTAINS: WHEAT, SESAME SEED MEAL",,57,g,,Bread,GDSN,9/12/2020,11/13/2020,United States,
1105918,CAMPBELL SOUP COMPANY,,,51000076885,"MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, MARGARINE (PALM OIL, WATER, SOYBEAN OIL, SALT, NATURAL FLAVOR, SOY LECITHIN, BETA CAROTENE (COLOR), VITAMIN A PALMITATE ADDED), MOZZARELLA CHEESE (PART-SKIM MILK, CULTURES, SALT, ENZYMES), SOYBEAN OIL, CONTAINS 2% OR LESS OF: YEAST, SALT, SUGAR, CORN MEAL, GARLIC POWDER, MALTED BARLEY FLOUR, PARSLEY FLAKES, GARLIC EXTRACT, SOY LECITHIN, WHEAT GLUTEN, TURMERIC  AND ANNATTO EXTRACTS (COLOR)CONTAINS: WHEAT, MILK, SOY",,50,g,,Bread,GDSN,9/26/2020,11/13/2020,United States,
1105919,CAMPBELL SOUP COMPANY,,,51000121141,"INGREDIENTS: CHICKEN STOCK, CONTAINS LESS THAN 2% OF: MIREPOIX (CARROTS, CELERY, ONIONS), SALT, CHICKEN BROTH*, CANE SUGAR, NATURAL FLAVORING, ONIONS*, YEAST EXTRACT, CHICKEN FAT.*DRIED",,240,ml,,Herbs/Spices/Extracts,GDSN,9/26/2020,11/13/2020,United States,
1105920,PEPPERIDGE FARM,,,14100074458,"MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, BROWN SUGAR (SUGAR, INVERT SUGAR, MOLASSES), PALM OIL, EGGS, MOLASSES, CONTAINS 2% OR LESS OF: SALT, CORNSTARCH, GINGER, BAKING SODA, CINNAMON, SOY LECITHIN.  CONTAINS: WHEAT, EGGS, SOY.",,28,g,,Biscuits/Cookies,GDSN,9/19/2020,11/13/2020,United States,
1105921,PEPPERIDGE FARM,,,6.57523E+11,"MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, CONTAINS 2% OR LESS OF: SALT, CANOLA AND EXTRA VIRGIN OLIVE OILS, WHEAT GLUTEN, MALT SYRUP, YEAST, MALTED BARLEY FLOUR, RICE FLOUR, SESAME SEED MEAL.CONTAINS: WHEAT, SESAME SEED MEAL.",,57,g,,Bread,GDSN,9/12/2020,11/13/2020,United States,
1105922,PEPPERIDGE FARM,,,14100096054,"MADE WITH SMILES AND WHOLE WHEAT FLOUR, SUGAR, ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), VEGETABLE OILS (CANOLA, SUNFLOWER AND/OR SOYBEAN), COCOA PROCESSED WITH ALKALI, INVERT SYRUP, CHOCOLATE, CONTAINS 2% OR LESS OF: NATURAL FLAVOR, PALM KERNEL OIL, PALM OIL, COCOA POWDER, NONFAT MILK, BAKING SODA, CORN SYRUP SOLIDS, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, BAKING SODA, MONOCALCIUM PHOSPHATE), SALT, SOY LECITHIN.  CONTAINS: WHEAT, MILK, SOY.",,30,g,,Biscuits/Cookies,GDSN,9/1/2020,11/13/2020,United States,
1105923,PEPPERIDGE FARM,,,6.57523E+11,"MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, CONTAINS 2% OR LESS OF: CANOLA AND EXTRA VIRGIN OLIVE OILS, SALT, THYME, SUGAR, YEAST, MALT SYRUP, MALTED BARLEY FLOUR, RICE FLOUR, SESAME SEED MEAL.CONTAINS: WHEAT, SESAME SEED MEAL.",,91,g,,Bread,GDSN,9/12/2020,11/13/2020,United States,
1105924,CAMPBELL SOUP COMPANY,,,51000075208,"MADE FROM: PEACHES, ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SUGAR, VEGETABLE OILS (PALM, SOYBEAN, HYDROGENATED COTTONSEED), MODIFIED CORNSTARCH, CONTAINS 2% OR LESS OF: HIGH FRUCTOSE CORN SYRUP, DEHYDRATED APPLES, SALT, CITRIC ACID, MONO AND DIGLYCERIDES, SOY LECITHIN, MALTED BARLEY FLOUR, TURMERIC AND ANNATTO EXTRACTS FOR COLOR.CONTAINS: WHEAT,  SOY.",,89,g,,Sweet Bakery Products,GDSN,9/12/2020,11/13/2020,United States,
1105925,PEPPERIDGE FARM,,,6.57523E+11,"MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WHOLE WHEAT FLOUR, WATER, HONEY, CRACKED WHEAT, OATS, MALT SYRUP, FLAXSEED, WHEAT BRAN, WHEAT GERM, SUGAR, CONTAINS 2% OR LESS OF: SALT, WHEAT GLUTEN, YEAST, MALTED BARLEY FLOUR, RICE FLOUR, SESAME SEED MEAL.CONTAINS: WHEAT, SESAME SEED MEAL.",,57,g,,Bread,GDSN,9/12/2020,11/13/2020,United States,
1105926,PEPPERIDGE FARM,,,6.57523E+11,"MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, OLIVES, CONTAINS 2% OR LESS OF: SALT, WHEAT BRAN, CANOLA AND EXTRA VIRGIN OLIVE OILS, BLACK PEPPER, YEAST, THYME, MALTED BARLEY FLOUR, RICE FLOUR, SESAME SEED MEAL. CONTAINS: WHEAT, SESAME SEED MEAL.",,57,g,,Bread,GDSN,9/12/2020,11/13/2020,United States,
1105927,CAMPBELL SOUP COMPANY,,,51000140029,"MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, LOW-MOISTURE PART-SKIM MOZZARELLA CHEESE (PART-SKIM MILK, CULTURES, SALT, ENZYMES), SOYBEAN OIL, CONTAINS 2% OR LESS OF: MONTEREY JACK CHEESE  (MILK, CULTURES, SALT, ENZYMES), SALT, YEAST, SUGAR, PARSLEY, NATURAL FLAVORS (GARLIC), MALTED BARLEY FLOUR, SOY LECITHIN.CONTAINS: WHEAT, MILK, SOY.",,45,g,,Bread,GDSN,9/12/2020,11/13/2020,United States,
1105928,PEPPERIDGE FARM,,,14100096559,"MADE WITH SMILES AND ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), CHEDDAR CHEESE ([CULTURED MILK, SALT, ENZYMES], ANNATTO), VEGETABLE OILS (CANOLA, SUNFLOWER AND/OR SOYBEAN), SALT, CONTAINS 2% OR LESS OF: YEAST, SUGAR, AUTOLYZED YEAST EXTRACT, PAPRIKA, SPICES, CELERY, ONION POWDER, MONOCALCIUM PHOSPHATE, BAKING SODA. CONTAINS: WHEAT, MILK.",,30,g,,Biscuits/Cookies,GDSN,9/12/2020,11/13/2020,United States,
1105929,PEPPERIDGE FARM,,,14100074106,"MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, VEGETABLE OILS (PALM AND/OR SOYBEAN AND HYDROGENATED SOYBEAN), SWEETENER BLEND (INVERT SYRUP, MOLASSES), BUTTER, CORNSTARCH, NONFAT MILK, CONTAINS 2% OR LESS OF: EGG WHITES, SALT, BAKING SODA, SOY LECITHIN.  CONTAINS: WHEAT, MILK, EGGS, SOY.",,27,g,,Biscuits/Cookies,GDSN,9/1/2020,11/13/2020,United States,
1105930,CAMPBELL SOUP COMPANY,,,51000146045,"INGREDIENTS: BEEF STOCK, CONTAINS LESS THAN 2% OF: MIREPOIX (CARROTS, CELERY, ONIONS), SALT, NATURAL FLAVORING, YEAST EXTRACT, CANE SUGAR.",,240,ml,,Herbs/Spices/Extracts,GDSN,9/12/2020,11/13/2020,United States,
1105931,PEPPERIDGE FARM,,,6.57523E+11,"MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, CANOLA AND EXTRA VIRGIN OLIVE OILS, CONTAINS 2% OR LESS OF: SALT, YEAST, MALTED BARLEY FLOUR, RICE FLOUR, SESAME SEED MEAL.CONTAINS: WHEAT, SESAME SEED MEAL.",,99,g,,Bread,GDSN,9/12/2020,11/13/2020,United States,
1105932,PEPPERIDGE FARM,,,14100084709,"MADE FROM: ENRICHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, VEGETABLE OILS (PALM AND/OR SOYBEAN AND HYDROGENATED SOYBEAN), FRUCTOSE, CORN SYRUP SOLIDS, BUTTER, CONTAINS 2% OR LESS OF: EGGS, CORNSTARCH, CINNAMON, AMMONIUM BICARBONATE, SALT, NATURAL FLAVOR, BAKING SODA, CREAM OF TARTAR, CANOLA AND/OR SUNFLOWER OIL, NONFAT MILK, SOY LECITHIN. CONTAINS: WHEAT, MILK, EGGS, SOY.",,31,g,,Biscuits/Cookies,GDSN,9/12/2020,11/13/2020,United States,
