Term (from label),Term (from ontology),Membership
prepared mustard distilled vinegar,No results,No Class
mustard seed,"['mustard seed (whole)', 'mustard seed (whole)']",No Class
turmeric,['turmeric extract'],No Class
paprika,['paprika'],No Class
spice,['spice'],No Class
enzyme modified cheddar cheese cheddar cheese cultured milk,No results,No Class
calcium chloride,No results,No Class
disodium phosphate,No results,No Class
enzyme modified butter,No results,No Class
reconstituted skim milk,No results,No Class
garlic dried contains,No results,No Class
prepared navy beans,No results,No Class
brown sugar,['brown sugar'],No Class
onion,['obsolete: pea and onion'],No Class
tomato puree tomato paste,No results,No Class
modified corn starch,No results,No Class
vinegar,['vinegar'],No Class
garlic powder,['garlic powder'],No Class
natural flavor,['popcorn (microwave with real butter and natural flavors)'],No Class
caramel color,No results,No Class
prepared organic chick peas,No results,No Class
brown sugar contains less,No results,No Class
red bell pepper,['sweet red bell pepper (whole)'],No Class
mustard water,No results,No Class
autolyzed yeast extract,No results,No Class
natural smoke flavor,No results,No Class
tomato powder,['tomato powder'],No Class
vinegar powder,No results,No Class
pork fat,['pork fatty tissue (partially defatted)'],No Class
bacon,['Canadian bacon'],No Class
bacon fat,['bacon fat (cooked)'],No Class
tamarind,['tamarind (whole)'],No Class
made,['American-made product'],No Class
enriched wheat flour flour,No results,No Class
reduced iron,No results,No Class
canola extra virgin olive oils,No results,No Class
wheat gluten,['wheat gluten'],No Class
malt syrup,['30070 - barley malt syrup (efsa foodex2)'],No Class
yeast,"['yeast', 'yeast']",No Class
malted barley flour,No results,No Class
rice flour,['brown rice flour'],No Class
sesame seed,['sesame seed'],No Class
sesame seed meal,No results,No Class
margarine palm oil,No results,No Class
soybean oil,['soybean oil'],No Class
vitamin palmitate added,No results,No Class
mozzarella cheese part,No results,No Class
skim milk,['chocolate-flavored skim milk'],No Class
corn meal,['corn meal'],['milled grain or starch product (us cfr)']
parsley flakes,No results,No Class
garlic extract,No results,No Class
turmeric annatto extracts color contains,No results,No Class
chicken broth,['chicken broth'],"['soup, thin (us cfr)']"
chicken fat dried,No results,No Class
brown sugar sugar,No results,No Class
invert sugar,['invert sugar'],No Class
molasses,['molasses'],No Class
palm oil,['palm oil'],No Class
eggs,['eggshell'],No Class
cornstarch,['cornstarch (artificially flavored and colored)'],No Class
ginger,['ginger root'],No Class
baking soda,['baking soda product'],No Class
cinnamon,['cinnamon'],No Class
soy lecithin contains,No results,No Class
made smiles whole wheat flour,No results,No Class
vegetable oils canola,No results,No Class
sunflower soybean,No results,No Class
cocoa processed alkali,No results,No Class
invert syrup,No results,No Class
chocolate,['chocolate'],['cacao or chocolate product (us cfr)']
palm kernel oil,['palm kernel oil'],No Class
cocoa powder,"['20  coffee, tea, cocoa powder (efg)']",No Class
nonfat milk,"['skim milk (pasteurized, vitamin A and D fortified, nonfat milk solids added)']",No Class
corn syrup solids,No results,No Class
baking powder sodium acid pyrophosphate,No results,No Class
monocalcium phosphate,No results,No Class
thyme,['spanish thyme leaf (whole)'],No Class
peaches,['corn flakes (with instant peaches)'],No Class
vegetable oils palm,No results,No Class
hydrogenated cottonseed,No results,No Class
modified cornstarch,No results,No Class
dehydrated apples,No results,No Class
mono diglycerides,No results,No Class
turmeric annatto extracts,No results,No Class
whole wheat flour,['whole wheat flour'],['milled grain or starch product (us cfr)']
honey,['honey'],No Class
cracked wheat,['cracked wheat bread'],No Class
oats,['oats'],No Class
flaxseed,['flaxseed oil'],No Class
wheat bran,['wheat bran'],['milled grain or starch product (us cfr)']
wheat germ,['wheat germ'],['milled grain or starch product (us cfr)']
olives,['pimiento cheese with olives'],['pasteurized process cheese (us cfr)']
sesame seed meal contains,No results,No Class
low,['quinoline yellow'],No Class
moisture part,"['mozzarella cheese (low-moisture, part-skim)', 'mozzarella cheese low-moisture part-skim']",['uncured cheese (us cfr)']
skim mozzarella cheese part,No results,No Class
monterey jack cheese milk,No results,No Class
parsley,['parsley leaf (whole)'],No Class
natural flavors garlic,No results,No Class
made smiles enriched wheat flour flour,No results,No Class
cheddar cheese cultured milk,No results,No Class
annatto,['oil soluble annatto'],['color additive (us cfr)']
onion powder,['onion powder'],No Class
baking soda contains,No results,No Class
vegetable oils palm soybean hydrogenated soybean,No results,No Class
sweetener blend invert syrup,No results,No Class
egg whites,No results,No Class
fructose,"['fructose', 'fructose', 'fructose', 'fructose']",No Class
ammonium bicarbonate,No results,No Class
cream tartar,No results,No Class
canola sunflower oil,No results,No Class
